character_id,primary_name,alias_text,alias_type,action,rule,note
1,Lews Therin Telamon,Dragon,epithet,COLLAPSE,article_dup,"Name given by men, referenced by prophecy"
1,Lews Therin Telamon,Kinslayer,epithet,KEEP,,Name given after this day for killing his family
1,Lews Therin Telamon,Lews Therin Kinslayer,epithet,KEEP,,
1,Lews Therin Telamon,the Dragon,epithet,KEEP,,
1,Lews Therin Telamon,Lord of the Dawn,title,KEEP,,From the prophecies
1,Lews Therin Telamon,Lord of the Morning,title,KEEP,,Used by Elan Morin when addressing him
1,Lews Therin Telamon,Prince of the Morning,title,KEEP,,From the prophecies
2,Elan Morin Tedronai,Ba'alzamon,epithet,KEEP,,
2,Elan Morin Tedronai,Betrayer of Hope,epithet,COLLAPSE,article_dup,"Name given by men, which he embraces"
2,Elan Morin Tedronai,Dark One,epithet,COLLAPSE,article_dup,Used by others to refer to him.
2,Elan Morin Tedronai,Father of Lies,epithet,KEEP,,
2,Elan Morin Tedronai,Heart of the Dark,epithet,KEEP,,translation of Ba'alzamon
2,Elan Morin Tedronai,Heartfang,epithet,KEEP,,Wolf name for Ba'alzamon
2,Elan Morin Tedronai,Ishamael,epithet,KEEP,,
2,Elan Morin Tedronai,Sightblinder,epithet,KEEP,,Aiel name for the Dark One
2,Elan Morin Tedronai,the Betrayer of Hope,epithet,KEEP,,
2,Elan Morin Tedronai,the Dark One,epithet,KEEP,,
2,Elan Morin Tedronai,Great Lord,title,KEEP,,Servants address him as Great Lord.
2,Elan Morin Tedronai,Great Lord of the Dark,title,KEEP,,"title associated with the Dark One, but Ba'alzamon speaks as if representing him"
4,Rand al'Thor,Andoran lord,epithet,KEEP,,how some in Cairhien describe him
4,Rand al'Thor,Child of the Dragon,epithet,KEEP,,"The Green Man calls Rand this, hinting at his destiny"
4,Rand al'Thor,Coramoor,epithet,KEEP,,"Sea Folk term for Rand, used in their letters"
4,Rand al'Thor,countryman,epithet,KEEP,,mocking epithet used by Be'lal
4,Rand al'Thor,Dragon,epithet,COLLAPSE,article_dup,
4,Rand al'Thor,Dragon Reborn,epithet,COLLAPSE,article_dup,"Repeatedly referenced, though Rand denies it"
4,Rand al'Thor,false Dragon,epithet,KEEP,,how Niall and others view him
4,Rand al'Thor,farmboy,epithet,KEEP,,
4,Rand al'Thor,He Who Comes With the Dawn,epithet,KEEP,,"Aiel prophecy name, strongly implied by Elayne's reasoning"
4,Rand al'Thor,King of the World,epithet,KEEP,,
4,Rand al'Thor,Kinslayer,epithet,KEEP,,"Ba'alzamon's epithet for Rand, referring to Lews Therin's past"
4,Rand al'Thor,Lews Therin,epithet,DROP,rank_decorated,"Ba'alzamon repeatedly calls Rand by this name, referring to the Dragon from the Age of Legends"
4,Rand al'Thor,Lews Therin Kinslayer,epithet,KEEP,,Full epithet used by Ba'alzamon
4,Rand al'Thor,Lord Shepherd,epithet,KEEP,,Min's sarcastic address
4,Rand al'Thor,Shadowkiller,epithet,KEEP,,Perrin thinks this name; it appears to be a wolf name for Rand
4,Rand al'Thor,sheepfarmer,epithet,KEEP,,
4,Rand al'Thor,sheepherder,epithet,KEEP,,Used by Lan
