db_file,character_id,primary_name,old_value,new_value,rationale
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,426,Be'lal,Tairen,,Forsaken from Age of Legends; predates all current nations. 'Tairen' applied his disguise-current-location to his true-identity row. Disguise-as-origin error.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,375,Samon,Tairen (implied),,Disguise persona of Be'lal in Tear. Hedged '(implied)' indicates the model itself flagged uncertainty. Disguise origin not_stated is the honest answer.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,409,Lord Brend,Illianer (came from near the Murandian border),Illianer,Disguise persona of Sammael in Illian (ruling council member). Bare 'Illianer' is defensible for the disguise; parenthetical 'came from near the Murandian border' is fabricated-looking specificity.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,389,Chin Ellisor,Tar Valon (born and bred),Tar Valon,"Origin verified by narrator-voice text quote: 'Chin Ellisor, born and bred in Tar Valon, was not one to question Aes Sedai once they made their intentions clear.' (Bk3 Ch37 'Fires in Cairhien'). Value is correct; parenthetical stripped for short-demonym style consistency."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,367,Mara,Heape (fictional story character),,Fictional character within in-universe story; nationality field should not be populated.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,370,Kadar,unknown (fictional story character),,Fictional character within in-universe story; clearing placeholder.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,368,King Madel,unknown (fictional story character),,Fictional character within in-universe story; clearing placeholder.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,369,Orander,unknown (fictional story character),,Fictional character within in-universe story; clearing placeholder.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,129,Elaida,unknown (from Tar Valon),,"Placeholder text masquerading as a value. 'Tar Valon' was institutional inference (Aes Sedai HQ), not personal origin. Cleared so placeholder-checks behave correctly."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,290,Luthair,Seanchan (historical),,"Luthair Paendrag Mondwin founded Seanchan when Hawkwing sent him across the ocean. The text establishes he founded Seanchan, not that he was from there. 'Seanchan' is institutional, not personal origin. Birthplace unestablished."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,307,Deain,Seanchan (historical),,"Deain invented the a'dam and joined Luthair's expedition; she predates Seanchan as a polity. 'Seanchan' is institutional association, not personal origin."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,89,Rhea,Borderlands (historical),,Text describes Aemon (of Manetheren) meeting Rhea in the Borderlands; she is local to that area but text does not explicitly establish her as a Borderlands native. Origin not stated in clean form.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,380,the caged Aiel,Aiel (from the Waste),Aiel,Stripping redundant parenthetical; Aiel are inherently from the Waste.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,236,Maglin Madwen,"Lugard (originally), married a Cairhienin","Lugard, Murandy",Strip extra sociology context (marriage); apply new compound-hierarchy rule for new writes: Lugard is the capital of Murandy.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,128,Raimun Holdwin,Andoran (from the local area),Andor,Strip hedge; apply new place-name style for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,143,Galadedrid Damodred,Cairhienin (by father) / Andoran (by upbringing),Andor,Per audit decision: Galad's upbringing in Andor is his primary identity; collapse compound to single value; place-name style for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,364,Raab,Sea Folk (Atha'an Miere),Atha'an Miere,Use cultural identifier (Atha'an Miere is the Sea Folk's name for themselves); single canonical form.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,429,First of Mayene,Mayene (ruler of),Mayene,Strip '(ruler of)' qualifier. The First of Mayene rules from Mayene as its origin and seat. Bare place name aligns with new compound-hierarchy rule.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,120,Howal Gode,Whitebridge (from context),"Whitebridge, Andor",Text refers to Gode as 'the Whitebridge merchant'; he operates from Whitebridge in Andor. Apply new compound-hierarchy rule for corrected rows.
